title,price,vcpu,mem
t4g.nano,509.5,2,0.5
t3.nano,641.2,2,0.5
t4g.micro,1018.9,2,1.0
t3.micro,1282.5,2,1.0
t4g.small,2037.9,2,2.0
t3.small,2564.9,2,2.0
t4g.medium,4075.8,2,4.0
m6g.medium,4655.5,1,4.0
t3.medium,5129.9,2,4.0
t4g.large,8151.6,2,8.0
m6g.large,9311.0,2,8.0
t3.large,10259.7,2,8.0
t4g.xlarge,16303.1,4,16.0
m6g.xlarge,18622.1,4,16.0
t3.xlarge,20519.4,4,16.0
t4g.2xlarge,32606.2,8,32.0
m6g.2xlarge,37244.2,8,32.0
t3.2xlarge,41038.8,8,32.0
m6g.4xlarge,74488.3,16,64.0
m6g.8xlarge,148976.6,32,128.0
